last_name,first_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Brown,Sherrod,1952-11-09,M,sen,OH,,Democrat,http://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,,,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,00136,N00003535,S307,5051,400050,27018,Sherrod Brown,gIQA3O2w9O,29389,Sherrod Brown
Cantwell,Maria,1958-10-13,F,sen,WA,,Democrat,http://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,,,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,00172,N00007836,S275,26137,300018,27122,Maria Cantwell,gIQAZxKkDP,39310,Maria Cantwell
Cardin,Benjamin,1943-10-05,M,sen,MD,,Democrat,http://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,120421834675191,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,00174,N00001955,S308,4004,400064,26888,Ben Cardin,gIQAGMu99O,15408,Ben Cardin
Carper,Thomas,1947-01-23,M,sen,DE,,Democrat,http://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,124891107521733,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,00179,N00012508,S277,663,300019,22421,Tom Carper,gIQA3bm69O,15015,Tom Carper
Casey,Robert,1960-04-13,M,sen,PA,,Democrat,http://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,http://www.casey.senate.gov/contact/,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,107749545944874,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,01828,N00027503,S309,47036,412246,2541,"Bob Casey, Jr.",gIQABeor9O,40703,"Bob Casey, Jr."
Corker,Bob,1952-08-24,M,sen,TN,,Republican,http://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,http://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/public/index.cfm/rss/feed,SenBobCorker,bobcorker,109251415789533,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,01825,N00027441,S310,1021114,412248,65905,Bob Corker,gIQADOuy9O,40705,Bob Corker
Feinstein,Dianne,1933-06-22,F,sen,CA,,Democrat,http://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,334887279867783,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,01332,N00007364,S221,13061,300043,53273,Dianne Feinstein,gIQAnrCyDP,49300,Dianne Feinstein
Hatch,Orrin,1934-03-22,M,sen,UT,,Republican,http://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/public/index.cfm/rss/feed,SenOrrinHatch,senatororrinhatch,,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,01351,N00009869,S118,189,300052,53352,Orrin Hatch,gIQAzJiz9O,14503,Orrin Hatch
Klobuchar,Amy,1960-05-25,F,sen,MN,,Democrat,http://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/email-amy,,,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,01826,N00027500,S311,83701,412242,65092,Amy Klobuchar,gIQA5G259O,40700,Amy Klobuchar
McCaskill,Claire,1953-07-24,F,sen,MO,,Democrat,http://www.mccaskill.senate.gov,730 Hart Senate Office Building Washington DC 20510,202-224-6154,http://www.mccaskill.senate.gov/?p=contact,http://mccaskill.senate.gov/rss/?p=news,McCaskillOffice,senatormccaskill,131498087618,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,01820,N00027694,S312,1012014,412243,2109,Claire McCaskill,gIQAiqnb9O,40701,Claire McCaskill
Menéndez,Robert,1954-01-01,M,sen,NJ,,Democrat,http://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,http://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,349744811357,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,00791,N00000699,S306,29608,400272,26961,Bob Menendez,gIQAYgYw6O,29373,Bob Menendez
Nelson,Bill,1942-09-29,M,sen,FL,,Democrat,http://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,http://www.billnelson.senate.gov/contact-bill,,SenBillNelson,,,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,00859,N00009926,S282,1931,300078,1606,Bill Nelson (Florida),gIQAlLuy9O,14651,Bill Nelson
Sanders,Bernard,1941-09-08,M,sen,VT,,Independent,http://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/comment,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,9124187907,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,01010,N00000528,S313,994,400357,27110,Bernie Sanders,gIQABiDjMP,29147,Bernie Sanders
Stabenow,Debbie,1950-04-29,F,sen,MI,,Democrat,http://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,http://www.stabenow.senate.gov/?p=contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,,,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,01531,N00004118,S284,45451,300093,515,Debbie Stabenow,gIQA5t8DAP,29732,Debbie Stabenow
Tester,Jon,1956-08-21,M,sen,MT,,Democrat,http://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,http://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,210573031664,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,01829,N00027605,S314,1020176,412244,20928,Jon Tester,gIQAw67AAP,40702,Jon Tester
Whitehouse,Sheldon,1955-10-20,M,sen,RI,,Democrat,http://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,http://www.whitehouse.senate.gov/contact,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,194172833926853,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,01823,N00027533,S316,92235,412247,2572,Sheldon Whitehouse,gIQA7KHw9O,40704,Sheldon Whitehouse
Barrasso,John,1952-07-21,M,sen,WY,,Republican,http://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,21146775942,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,01881,N00006236,S317,1024777,412251,52662,John Barrasso,gIQASOzBAP,40707,John Barrasso
Wicker,Roger,1951-07-05,M,sen,MS,,Republican,http://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,http://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,01226,N00003280,S318,18203,400432,21926,Roger Wicker,gIQAC9ZCAP,29534,Roger Wicker
Alexander,Lamar,1940-07-03,M,sen,TN,,Republican,http://www.alexander.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/public/?a=rss.feed,SenAlexander,senatorlamaralexander,89927603836,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,01695,N00009888,S289,5,300002,15691,Lamar Alexander,gIQAzZQL9O,40304,Lamar Alexander
Cochran,Thad,1937-12-07,M,sen,MS,,Republican,http://www.cochran.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-5054,http://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov/public/index.cfm/rss/feed,SenThadCochran,,,sencochran,UCTnKP_ye7nI5DEn_zreaa3g,C000567,00213,N00003328,S136,1200,300023,53312,Thad Cochran,gIQAJk599O,14009,Thad Cochran
Collins,Susan,1952-12-07,F,sen,ME,,Republican,http://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/public/index.cfm/email,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,7593313361,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,01541,N00000491,S252,45738,300025,379,Susan Collins,gIQAPvDu9O,49703,Susan Collins
Cornyn,John,1952-02-02,M,sen,TX,,Republican,http://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,75755694423,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,01692,N00024852,S287,93131,300027,15375,John Cornyn,gIQAy80L9O,40305,John Cornyn
Durbin,Richard,1944-11-21,M,sen,IL,,Democrat,http://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,http://www.durbin.senate.gov/public/index.cfm/contact,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,180436795325335,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,00326,N00004981,S253,6741,300038,26847,Dick Durbin,gIQArl8V9O,15021,Dick Durbin
Enzi,Michael,1944-02-01,M,sen,WY,,Republican,http://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov/public/index.cfm/rss/feed,SenatorEnzi,mikeenzi,23068049436,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,01542,N00006249,S254,45824,300041,558,Mike Enzi,gIQAAWfCAP,49706,Mike Enzi
Graham,Lindsey,1955-07-09,M,sen,SC,,Republican,http://www.lgraham.senate.gov,290 Russell Senate Office Building Washington DC 20510,202-224-5972,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,257937783228,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,00452,N00009975,S293,36782,300047,21992,Lindsey Graham,gIQAEdOu9O,29566,Lindsey Graham
Inhofe,James,1934-11-17,M,sen,OK,,Republican,http://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,http://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,InhofePress,jiminhofe,55018309421,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,00583,N00005582,S236,5619,300055,27027,Jim Inhofe,gIQASu669O,15424,Jim Inhofe
McConnell,Mitch,1942-02-20,M,sen,KY,,Republican,http://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,,M000355,01395,N00003389,S174,2351,300072,53298,Mitch McConnell,gIQAYR2b9O,14921,Mitch McConnell
Merkley,Jeff,1956-10-24,M,sen,OR,,Democrat,http://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,74374931545,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,01900,N00029303,S322,1029842,412325,23644,Jeff Merkley,gIQAosnb9O,40908,Jeff Merkley
Reed,John,1949-11-12,M,sen,RI,,Democrat,http://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,http://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,213866375370646,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,00949,N00000362,S259,24239,300081,27060,Jack Reed,gIQAT2gt9O,29142,Jack Reed (politician)
